arc_target,support_tier,n_contexts_perturbed,datasets_perturbed,n_datasets_measured,datasets_measured,dataset_cells
MAP2K2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MAPK12,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MAPK7,0,0,,4,arch1|kaden25rpe1|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MARCKSL1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MBD4,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MED13,1,1,arch1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MED15,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MED25,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MLKL,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MLLT10,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MSANTD4,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MSI2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MTA1,2,2,arch1|kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MTF1,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MTHFSD,0,0,,4,arch1|kaden25rpe1|nadig25hepg2|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MTM1,0,0,,5,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MYD88,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MYPOP,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
MYRF,1,1,kaden25rpe1,5,arch1|kaden25rpe1|nadig25hepg2|replogle22k562|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
NABP2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
NAIF1,0,0,,4,arch1|kaden25rpe1|replogle22k562|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
NCLN,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
NFE2L1,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
NGLY1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
NICN1,0,0,,2,arch1|kaden25rpe1,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
NIPAL3,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
NIPSNAP3A,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
NT5DC1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
NUP37,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PAN2,0,0,,5,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PAPOLA,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PARP3,0,0,,5,arch1|kaden25rpe1|nadig25hepg2|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PATL1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PBLD,0,0,,4,arch1|kaden25rpe1|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PCGF1,0,0,,5,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PCGF6,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PDCD4,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PDE6D,0,0,,6,arch1|kaden25rpe1|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PDK1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PDK3,0,0,,5,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PGLS,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PHF11,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PHF19,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PHF23,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PHF8,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PI4KB,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PIM2,0,0,,4,arch1|kaden25rpe1|replogle22k562|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PIN1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PINK1,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PKN3,0,0,,5,arch1|kaden25rpe1|nadig25hepg2|replogle22k562|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PLAGL2,1,1,kaden25rpe1,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PLCG1,0,0,,5,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PNP,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
POLD4,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
POR,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PPIF,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PPIP5K2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PQBP1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PRDX3,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PRKAB2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PRKACA,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PRMT2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PRMT6,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PRMT7,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PRNP,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PSKH1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PSMB9,0,0,,5,arch1|kaden25rpe1|nadig25jurkat|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PTMS,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PTOV1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
PYCR1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
R3HCC1L,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
RAB11FIP5,0,0,,4,arch1|kaden25rpe1|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
RAB5A,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
RABEP2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
RBM18,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
RBM26,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
RBM4B,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
RBM5,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
RC3H2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
REV1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
RFK,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
RNF10,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
RNF141,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
RNF2,2,2,arch1|kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
RSRC1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
S100A11,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SAP30L,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SCAF8,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SEMA4F,0,0,,3,arch1|kaden25rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SFXN4,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SH2D3A,0,0,,4,arch1|kaden25rpe1|nadig25hepg2|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SHPRH,1,1,arch1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SIN3B,1,1,arch1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SLC25A13,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SLC39A1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SLC44A1,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SLIRP,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SMARCA5,2,2,arch1|kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SMARCC2,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SMYD2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SND1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SNN,0,0,,4,arch1|kaden25rpe1|nadig25jurkat|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SNRK,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
SNX4,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
